1;hone;hoʊn;заточувати;
2;residual;rɪˈzɪdʒ u əl;залишковий;
3;sympathetic;ˌsɪm pəˈθɛt ɪk;співчутливий;
4;wield;wild;володіти;
5;cushion;ˈkʊʃ ən;подушка, прокладка;
6;negligible;ˈnɛg lɪ dʒə bəl;незначний;
7;wool;wʊl;шерсть;
8;beak;bik;дзьоб;
9;coil;kɔɪl;котушка;
10;tumor;ˈtu mər, ˈtyu-;пухлина;
11;clamp;klæmp;зажим;
12;proclivity;proʊˈklɪv ɪ ti;схильність;
13;subcutaneous;ˌsʌb kyuˈteɪ ni əs ;підшкірний;
14;noggin;ˈnɒg ən;голова;
15;lesion;ˈli ʒən;ураження;
16;alienation;ˌeɪl yəˈneɪ ʃən;відчуження;
17;blaze;bleɪz;полумя, горіти;
18;prenatal;priˈneɪt l;передпологовий;
19;viral;ˈvaɪ rəl;вірусний;
20;warfare;ˈwɔrˌfɛər;війна, боротьба;
21;intimidate;ɪnˈtɪm ɪˌdeɪt;залякувати;
22;stepfather;ˈstɛpˌfɑ ðər;вітчим;
23;accuse;əˈkyuz;звинувачувати;
24;lucid;ˈlu sɪd;ясний;f,
25;thrilled;θrɪl;схвильований;
26;tendril;ˈtɛn drɪl;вусик;
27;atrocious;əˈtroʊ ʃəs;жахливий;
28;glove;;рукавичка;
29;biped;;двуногий;
30;abduction;æbˈdʌk ʃən;Викрадення;
31;peculiar;pɪˈkyul yər;своєрідний;
32;jog;;поштовх;
33;barely;ˈbɛər li;ледь;
34;nausea;ˈnɔ zi ə;нудота;
35;solely;;тільки;
36;prudent;ˈprud nt;розсудливий;
37;loon;;нероба;
38;laceration;ˌlæs əˈreɪ ʃən;Рвана рана;
39;callous;ˈkæl əs;бездушний, черствий;
40;sane;;розсудливий;
41;purge;pɜrdʒ;чищення;
42;tether;ˈtɛð ər;привязь, привязать (пасущееся животное);
43;urinate;ˈyʊər əˌneɪt;мочитися;
44;spleen;;селезінка, гнів;
45;vault;vɔlt;сховище;
46;moot;;спірний;
47;saw;;пила;
48;swatch;swɒtʃ;зразок тканини;
49;gulf war;;війна в перській затоці;
50;hang out;;тусуватися;
51;dare;dɛər;відважуватися, виклик;
52;recite;rɪˈsaɪt;декламувати, викладати;
53;supplements;;вітаміни;
54;vomit;ˈvɒm ɪt;блювати;
55;caterpillar;ˈkæt əˌpɪl ər,;гусениця;
56;assault;əˈsɔlt;напад, насильство;
57;to be deemed;;бути визнаним;
58;to stand trial;;постати перед судом;
59;spinal tap;;спинномозкова пункція;
60;slug;;слимак;
61;felony;ˈfɛl ə ni;кримінальний злочин;
62;suffice;səˈfaɪs;достатньо;
63;wiretap;;прослуховування;
64;kettle;;чайник;
65;confession;;визнання;
66;moron;;ідіот;
67;syllable;ˈsɪl ə bəl;звук, склад;
68;cranial;ˈkreɪ ni əl;черепний;
69;cavity;ˈkæv ɪ ti;порожнина;
70;vial;ˈvaɪ əl;флакон, пробірка;
71;fuse;fyuz;плавити;
72;speck;spɛk;крихта;
73;salvage;ˈsæl vɪdʒ;порятунок, рятувати;
74;wager;ˈweɪ dʒər;заключати парі;
75;contagion;kənˈteɪ dʒən;інфекція;
76;rogue;roʊg;шахрай;
77;remedy;ˈrɛm ɪ di;ліки, виліковувати;
78;jinx;;наврочити;
79;kin;;родичі;
80;baboon;;бабуїн;
81;seminal fluid;;насіння;
82;consolation;ˌkɒn səˈleɪ ʃən;розрада, втіха;
83;screw;skru;гвинт, крутити;
84;red tape;;бюрократизм, тяганина;
85;pelage;ˈpɛl ɪdʒ;волосяний прокрив, шерсть;
86;litter;ˈlɪt ər;виводок;
87;impatient;ɪmˈpeɪ ʃənt;нетерплячий;
88;gut;gʌt;черево;
89;conspire;kənˈspaɪər;діяти спільно, змовлятися ;
90;steep;stip;крутий;
91;custody;ˈkʌs tə di;варта, опіка;
92;sacrifice;ˈsæk rəˌfaɪs;жертва;
93;orifice;ˈɔr ə fɪs,;отвір;
94;malady;ˈmæl ə di;хвороба, недуга;
95;putrid;ˈpyu trɪd;гнильний;
96;funnel;ˈfʌn l;просочуватися;
97;attorney;dog;адвокат;
98;bowl;;чаша, кулька;
99;sweep;swip;прочищення, мести;
100;hollow;ˈhɒl oʊ;порожнистий;
101;grumpy;;сварливий, дратівливий;
102;pale;;блідий;
103;turntable;;програвач (програвач пластинок);
104;sealed;;герметичний;
105;deprive;dɪˈpraɪv;позбавляти, відбирати;
106;cannula;ˈkæn yə lə;катетер;
107;nasal;ˈneɪ zəl;носовий;
108;tympanic membrane;tɪmˈpæn ɪk;барабанна перетинка;
109;millipede;ˈmɪl əˌpid;багатоніжка;
110;feral;ˈfɪər əl;дикий;
111;digest;v. dɪˈdʒɛst, daɪ-, n. ˈdaɪ dʒɛst;засвоювати, переварювати;
112;sink;;раковина;
113;fence;fɛns;паркан;
114;prude;prud;ханжа;
115;hassle;ˈhæs əl;сутичка, бійка;
116;bovine;ˈboʊ vaɪn;бичачий;
117;shivering;ˈʃɪv ər;тремтіння;
118;indigenous;ɪnˈdɪdʒ ə nəs;місцевий;
119;claw;;кіготь;
120;bulky;;громіздкий;
121;canine;;собачий;
122;canvass;;аналізувати, досліджувати;
123;nasty;;противний, неприємний;
124;fang;;ікло, зуб;
125;viper;;гадюка, змія;
126;rip;;рвати;
127;motley;;різнорідний, строкатий;
128;raccoon;;єнот;
129;medevac;;санітарний;
130;stinger;;жало ;
131;rhinoceros;raɪˈnɒs ər əs;носоріг;
132;sandpaper;;наждачний папір;
133;sodium bicarbonate;;бікарбонат натрію;
134;maggot;; личинка (особенно мясной или сырной мухи);
135;larvae;; личинка;
136;scrape;;подряпина;
137;presumably;;імовірно;
138;gestate;;виношувати;
139;sewer;;колектор;
140;bait;;приманка, приманити;
141;maternal;;материнський;
142;lure;;приманка, нажива;
