1,able,в стані; здатний; спроможний,[ˈeɪb(ə)l] ейбл
2,about,про,[əˈbaʊt] ебааут
3,above,вище; вищезгаданий,[əˈbʌv] ебаав
4,accept,приймати; погоджувати; визнавати,[əkˈsɛpt] ексеапт
5,account,рахунок; звіт; звітувати,[əˈkaʊnt] екеаунт
6,across,через; поперек,[əˈkrɒs] екраас
7,act,діяти; акт,[akt] ект
8,action,дія; акція; діяльність,[ˈakʃ(ə)n] екшн
9,activity,діяльність,[akˈtɪvɪti] ектіва іті
10,add,додавати,[ad] ед
11,address,адреса,[əˈdrɛs] едреас
12,afraid,наляканий; зляканий,[əˈfreɪd] ефреайд
13,after,після,[ˈɑːftə] аафте
14,afternoon,день,[ɑːftəˈnuːn] афтенуан
15,again,знову,[əˈgɛn] еґеан
16,against,проти,[əˈgɛnst] еґеанст
17,age,вік; епоха; старіти,[eɪdʒ] ейдж
18,agree,погоджуватися,[əˈgriː] еґріа
19,ahead,попереду; попереджуючий,[əˈhɛd] ехеад
20,air,повітря; провітрювати,[ɛː] е(р)
21,airplane,літак,[ˈɛːpleɪn] е(р)плеайн
22,all,все; всі,[ɔːl] ол
23,allow,дозволяти,[əˈlaʊ] елаав
24,almost,майже,[ˈɔːlməʊst] оалмоуст
25,alone,тільки; сам; самотній,[əˈləʊn] елоаун
26,along,по; вздовж,[əˈlɒŋ] елоан
27,already,вже; раніше,[ɔːlˈrɛdi] оулреаді
28,also,також,[ˈɔːlsəʊ] оалсоу
29,although,хоча,[ɔːlˈðəʊ] оал(дз)оу
30,always,завжди,[ˈɔːlweɪz] оалвейз
31,among,серед; між,[əˈmʌŋ] емоан
32,amount,кількість; становити,[əˈmaʊnt] емеаунт
33,and,та,[ənd] еанд
34,angry,сердитий,[ˈaŋgri] еанґрі
35,animal,тварина,[ˈanɪm(ə)l] еанімал
36,another,інший; ще,[əˈnʌðə] енаа(дз)е
37,answer,відповідь; відповісти,[ˈɑːnsə] еансе(р)
38,any,будь-якиа й,[ˈɛni] еані
39,anyone,будь-який; хтось; будь-хто,[ˈɛnɪwʌn] еаніван
40,anything,що-небудь; щось,[ˈɛnɪθɪŋ] еані(тс)инґ
41,appear,з'являтися; з'явитися; показуватися,[əˈpɪə] еппіеа
42,apple,яблуко,[ˈap(ə)l] епл
43,approach,підхід; наближення; підходити,[əˈprəʊtʃ] епроауч
44,April,квітень,[ˈeɪpr(ɪ)l] еайпріл
45,area,площа; район; ділянка; галузь,[ˈɛːrɪə] еаріа
46,arm,плече; рука; озброювати; озброюватися,[ɑːm] а(р)м
47,arms,зброя,[ɑːmz] а(р)мз
48,army,армія,[ˈɑːmi] аа(р)мі
49,around,навколо; близько,[əˈraʊnd] ерааунд
50,arrive,приходити; прибувати,[əˈrʌɪv] ераайв
51,art,мистецтво,[ɑːt] аа(р)т
52,article,стаття; предмет,[ˈɑːtɪk(ə)l] аатікл
53,as,як,[az] ес
54,ask,запитати; попросити,[ɑːsk] еск
55,at,в; на,[at] ет
56,attack,напад; атака,[əˈtak] етаак
57,attempt,спроба; намагатися,[əˈtɛm(p)t] етеампт
58,attention,увага,[əˈtɛnʃ(ə)n] еттеаншн
59,august,серпень,[ˈɔːgəst] оаґаст
60,autumn,осінь,[ˈɔːtəm] оатем
61,away,геть; далеко,[əˈweɪ] еауей
62,back,тому; спина,[bak] бек
63,bad,поганий,[bad] бед
64,bag,мішок; торба; багаж,[bag] беґ
65,ball,м'яч; куля; бал; танці,[bɔːl] бол
66,bank,банк,[baŋk] бенк
67,bar,бар; паб; брусок; стойка,[bɑː] ба(р)
68,base,база; основа,[beɪs] бейс
69,basic,основний; початковий; фундаментальний,[ˈbeɪsɪk] беайсік
70,be,бути,[biː] бі
71,bear,ведмідь; нести; переносити,[bɛː] беае
72,beautiful,красивий,[ˈbjuːtɪfʊl] бьюа тіфул
73,because,тому що,[bɪˈkɒz] бікоаз
74,become,стати,[bɪˈkʌm] бікаам
75,bed,ліжко,[bɛd] бед
76,before,до; перед,[bɪˈfɔː] бефоа
77,begin,почати,[bɪˈgɪn] біґеан
78,began,почав,[bɪˈɡan] біґаан
79,beginning,початок,[bɪˈgɪnɪŋ] біґіна інґ
80,behind,за; позаду,[bɪˈhʌɪnd] біхаайнд
81,believe,вірити; довіряти,[bɪˈliːv] беліва
82,belong,належати; бути власністю,[bɪˈlɒŋ] белоанґ
83,below,нижче; під,[bɪˈləʊ] белоау
84,best,кращий,[bɛst] бест
85,better,краще,[ˈbɛtə] беате
86,between,між,[bɪˈtwiːn] битвіна
87,beyond,за; поза; за межами,[bɪˈjɒnd] біяанд
88,big,великий,[bɪg] біґ
89,bill,законопроект; рахунок; плакат,[bɪl] біл
90,bird,птах,[bəːd] беа(р)д
91,birthday,день народження,[bɜ:θdei] беа(тс)дей
92,bit,трохи; бур; кусок,[bɪt] бит
93,black,чорний,[blak] блек
94,block,блок; блокувати,[blɒk] блок
95,blood,кров,[blʌd] блад
96,blow,дути; подути; удар; цвіт; цвітіння,[bləʊ] блоау
97,blue,синій; блакитний,[bluː] блу
98,board,дошка; правління; рада; колегія,[bɔːd] боаод
99,boat,човен,[bəʊt] боаут
100,body,тіло,[ˈbɒdi] бааді
101,book,книга; замовляти; резервувати,[bʊk] бук
102,born,народитись,[bɔːn] бон
103,both,обидва; теж; і той і інший; як...так і...,[bəʊθ] боауз
104,bottle,пляшки; розливати,[ˈbɒt(ə)l] батл
105,bottom,дно,[ˈbɒtəm] боатом
106,box,вікно; коробка; затиснути,[bɒks] бокс
107,boy,хлопець,[bɔɪ] бой
108,branch,відділення; галузь,[brɑːn(t)ʃ] бренч
109,bread,хліб,[brɛd] бред
110,break,перерва; розбити,[breɪk] брейк
111,broke,зруйнований; розорений,[brəʊk] броаук
112,breakfast,сніданок,[ˈbrɛkfəst] бреакфест
113,bridge,міст; перемичка,[brɪdʒ] бридж
114,bright,яскравий,[brʌɪt] брайт
115,bring,принести,[brɪŋ] брінґ
116,brought,приніс,[brɔːt] броаот
117,brother,брат,[ˈbrʌðə] браа(дз)е
118,brown,коричневий,[braʊn] брааун
119,build,будувати,[bɪld] білд
120,building,будівля,[ˈbɪldɪŋ] біла динґ
121,burn,горіти; опік,[bəːn] беа(р)н
